Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,avg
2010,0.05,0.25,-0.16,-0.04,-0.18,-0.79,-1.99,-2.21,-2.45,-1.6,-1.57,-2.04,-1.060833333
2011,-1.8,-1.46,-1.28,-1.02,-0.66,-1.08,-2.3,-2.37,-2.5,-1.92,-2.95,-2.4,-1.811666667
2012,-1.85,-1.35,-1.66,-1.01,-2.12,-1.63,-2.4,-2.6,-2.99,-1.22,-0.66,-1.31,-1.733333333
2013,-1.1,-1.42,-1.48,-0.72,-0.4,-1.19,-1.34,-1.56,-1,-1.65,-1.09,-1.04,-1.165833333
2014,-0.57,-0.42,0.3,0.36,1.27,-0.28,0.25,0.34,0.76,1.43,1.35,1.86,0.554166667
2015,1.51,1.52,1.33,0.9,0.32,0.82,1.41,0.98,0.97,0.84,0.17,0.29,0.921666667
2016,0.75,1.29,1.56,1.74,1.6,0.87,0.57,-0.63,-0.8,-0.43,0.96,0.61,0.674166667
2017,-0.05,-0.01,0.1,0.56,0.45,0.35,-0.43,-0.63,-0.2,-0.68,-0.59,-0.03,-0.096666667
2018,0.38,-0.09,-0.72,-0.82,-0.46,-0.66,-0.01,-0.24,-0.35,-0.57,-0.71,-0.21,-0.371666667
2019,-0.34,-0.72,-0.4,0.09,0.26,-0.06,0.54,0.01,0.13,-0.9,-0.5,0,-0.1575
2020,-1.41,-1.48,-1.75,-1.32,-0.53,-0.75,-0.92,-1.33,-1.04,-0.62,-1.59,-0.99,-1.144166667
2021,-0.61,-1.09,-1.68,-1.84,-2.01,-1.81,-1.96,-0.94,-1.96,-3.13,-2.75,-2.71,-1.874166667
2022,-2.4,-1.91,-1.67,-2.1,-2.25,-1.33,-2.62,-2.39,-2.29,-1.82,-2.41,-2.21,-2.116666667
2023,-1.25,-1.65,-2.45,-3.07,-2.42,-2.53,-2.52,-2.47,-2.98,-2.24,-1.79,-1.68,-2.254166667
2024,-1.54,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,91.52916667
