Hypothesis,Feeding,Breeding,Method,Direction,Estimate,CV,lowerCI,upperCI,InputData
B1F1,SBC+WA,Central_Am,Genetics,BreedingtoFeeding,0,,0,0.002,mtDNA
B1F1,OR+CA,Asia,Genetics,BreedingtoFeeding,0,,0,0.09,mtDNA
B1F1,OR+CA,Hawaii,Genetics,BreedingtoFeeding,0,,0,0.08,mtDNA
B1F1,OR+CA,Mexico,Genetics,BreedingtoFeeding,0.1854,,0.114,0.266,mtDNA
B1F1,OR+CA,Central_Am,Genetics,BreedingtoFeeding,0.992,,0.685,1,mtDNA
B1F1,RUS+WAL,Asia,Genetics,FeedingtoBreeding,0.6399,,0.493,0.76,mtDNA+usat
B1F1,EAL+BER,Asia,Genetics,FeedingtoBreeding,0.1207,,0.07,0.183,mtDNA+usat
B1F1,GOA,Asia,Genetics,FeedingtoBreeding,0.0555,,0.025,0.096,mtDNA+usat
B1F1,SEA+NBC,Asia,Genetics,FeedingtoBreeding,0,,0,0.007,mtDNA+usat
B1F1,SBC+WA,Asia,Genetics,FeedingtoBreeding,0,,0,0.084,mtDNA+usat
B1F1,OR+CA,Asia,Genetics,FeedingtoBreeding,0,,0,0.033,mtDNA+usat
B1F1,RUS+WAL,Hawaii,Genetics,FeedingtoBreeding,0.2067,,0.067,0.328,mtDNA+usat
B1F1,EAL+BER,Hawaii,Genetics,FeedingtoBreeding,0.4933,,0.38,0.577,mtDNA+usat
B1F1,GOA,Hawaii,Genetics,FeedingtoBreeding,0.6243,,0.532,0.675,mtDNA+usat
B1F1,SEA+NBC,Hawaii,Genetics,FeedingtoBreeding,0.9964,,0.972,1,mtDNA+usat
B1F1,SBC+WA,Hawaii,Genetics,FeedingtoBreeding,0.38,,0.186,0.513,mtDNA+usat
B1F1,OR+CA,Hawaii,Genetics,FeedingtoBreeding,0.0189,,0,0.104,mtDNA+usat
B1F1,RUS+WAL,Mexico,Genetics,FeedingtoBreeding,0.1533,,0.03,0.321,mtDNA+usat
B1F1,EAL+BER,Mexico,Genetics,FeedingtoBreeding,0.3064,,0.223,0.429,mtDNA+usat
B1F1,GOA,Mexico,Genetics,FeedingtoBreeding,0.2946,,0.235,0.388,mtDNA+usat
B1F1,SEA+NBC,Mexico,Genetics,FeedingtoBreeding,0.0036,,0,0.026,mtDNA+usat
B1F1,SBC+WA,Mexico,Genetics,FeedingtoBreeding,0.3893,,0.257,0.726,mtDNA+usat
B1F1,OR+CA,Mexico,Genetics,FeedingtoBreeding,0.3805,,0.309,0.655,mtDNA+usat
B1F1,RUS+WAL,Central_Am,Genetics,FeedingtoBreeding,0.0001,,0,0.085,mtDNA+usat
B1F1,EAL+BER,Central_Am,Genetics,FeedingtoBreeding,0.0796,,0.017,0.137,mtDNA+usat
B1F1,GOA,Central_Am,Genetics,FeedingtoBreeding,0.0256,,0,0.063,mtDNA+usat
B1F1,SEA+NBC,Central_Am,Genetics,FeedingtoBreeding,0,,0,0.005,mtDNA+usat
B1F1,SBC+WA,Central_Am,Genetics,FeedingtoBreeding,0.2307,,0,0.332,mtDNA+usat
B1F1,OR+CA,Central_Am,Genetics,FeedingtoBreeding,0.6006,,0.318,0.646,mtDNA+usat
